#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 226000      1.18e+00    1.02e+00      8.28e-04    6.67e-04      1.18e-01    1.01e-01    9.9e-05
 227000      1.27e+00    1.10e+00      1.05e-03    4.68e-04      1.26e-01    1.09e-01    9.9e-05
 228000      1.34e+00    9.89e-01      8.39e-04    8.72e-04      1.34e-01    9.87e-02    9.9e-05
 229000      1.10e+00    1.05e+00      2.60e-03    2.69e-03      1.10e-01    1.04e-01    9.9e-05
 230000      1.10e+00    1.21e+00      2.64e-03    2.31e-03      1.13e-01    1.24e-01    9.4e-05
 231000      1.28e+00    1.02e+00      1.01e-03    5.12e-04      1.31e-01    1.05e-01    9.4e-05
 232000      1.15e+00    8.56e-01      1.71e-03    1.22e-03      1.18e-01    8.77e-02    9.4e-05
 233000      9.37e-01    1.22e+00      6.48e-04    4.99e-04      9.59e-02    1.25e-01    9.4e-05
 234000      1.25e+00    8.71e-01      8.80e-04    7.90e-04      1.28e-01    8.92e-02    9.4e-05
 235000      1.02e+00    1.10e+00      6.11e-04    1.13e-03      1.08e-01    1.16e-01    9.0e-05
 236000      1.40e+00    1.42e+00      2.39e-03    1.70e-03      1.47e-01    1.49e-01    9.0e-05
 237000      1.15e+00    9.21e-01      4.35e-04    6.12e-04      1.21e-01    9.67e-02    9.0e-05
 238000      9.85e-01    1.19e+00      8.83e-04    7.52e-04      1.03e-01    1.25e-01    9.0e-05
 239000      1.12e+00    1.06e+00      8.21e-04    4.87e-04      1.18e-01    1.11e-01    9.0e-05
 240000      1.13e+00    9.77e-01      9.95e-04    1.21e-03      1.22e-01    1.05e-01    8.5e-05
 241000      1.23e+00    1.20e+00      1.15e-03    3.61e-04      1.32e-01    1.30e-01    8.5e-05
 242000      9.18e-01    8.48e-01      7.71e-04    6.54e-04      9.89e-02    9.13e-02    8.5e-05
 243000      1.16e+00    9.52e-01      1.02e-03    7.36e-04      1.25e-01    1.03e-01    8.5e-05
 244000      1.05e+00    1.02e+00      6.11e-04    8.77e-04      1.13e-01    1.10e-01    8.5e-05
 245000      9.12e-01    9.44e-01      1.44e-03    1.68e-03      1.01e-01    1.04e-01    8.1e-05
 246000      1.00e+00    1.23e+00      8.77e-04    5.68e-04      1.11e-01    1.36e-01    8.1e-05
 247000      1.25e+00    8.49e-01      1.05e-03    7.89e-04      1.39e-01    9.38e-02    8.1e-05
 248000      1.31e+00    1.02e+00      5.59e-04    8.43e-04      1.45e-01    1.12e-01    8.1e-05
 249000      9.88e-01    9.87e-01      1.14e-03    9.49e-04      1.09e-01    1.09e-01    8.1e-05
 250000      1.06e+00    1.11e+00      1.28e-03    1.06e-03      1.20e-01    1.25e-01    7.7e-05
 251000      1.10e+00    1.07e+00      1.41e-03    1.30e-03      1.24e-01    1.21e-01    7.7e-05
 252000      1.10e+00    1.16e+00      1.21e-03    1.23e-03      1.25e-01    1.31e-01    7.7e-05
